timestamp,value_min,value_q05,value_q95,value_max,value_mean,value_median,value_std,value_skew,value_sum,value_last,value_count
2009-04-16 18:00:00,-35459.2,-30330.96943359375,28427.3900390625,31499.1,1089.0023,86.17689895629883,19492.800930243273,-0.089033276,1.4701531e+06,677.529,1350
2009-04-17 00:00:00,-28609.9,-24257.33056640625,33836.3345703125,37365.1,953.6535,-3885.2750244140625,19539.52505060416,0.39289618,1.2874322e+06,326.878,1350
2009-04-17 06:00:00,-28954.6,-26845.044921875,30935.844824218744,35974.4,459.98343,1493.2400512695312,18731.8533373213,0.07506938,620977.6,15294.9,1350
2009-04-17 12:00:00,-36092.2,-31632.7904296875,25798.135351562498,29445.8,1713.6152,7387.43994140625,19774.595414979525,-0.47612664,2.3133805e+06,17820.8,1350
2009-04-17 18:00:00,-35396.8,-30247.01025390625,28431.23525390625,31537.8,1170.5554,123.32200241088867,19520.12230632239,-0.09355709,1.5802499e+06,6005.64,1350
2009-04-18 00:00:00,-28565.3,-24202.3654296875,33836.3345703125,37377.0,966.2926,-3683.205078125,19543.139729271003,0.39263377,1.304495e+06,2273.29,1350
2009-04-18 06:00:00,-28930.8,-26896.48974609375,30890.24521484375,35968.5,408.5155,1371.4000244140625,18726.462970652658,0.07863735,551495.94,13895.3,1350
2009-04-18 12:00:00,-50985.5,-33559.85,27765.145605468744,39638.4,2825.7302,11657.650390625,21491.013488564044,-0.61254,3.8147358e+06,15363.3,1350
2009-04-18 18:00:00,-34799.6,-30891.8400390625,32540.705175781226,43147.9,-116.61354,-765.1679992675781,21172.70550250855,0.11798811,-157428.28,-25112.4,1350
2009-04-19 00:00:00,-47324.5,-38832.0861328125,36439.919921875,40945.9,-4180.3237,-9725.81005859375,23655.80039748672,0.21565147,-5.643437e+06,8968.34,1350
2009-04-19 06:00:00,-30137.2,-27583.34921875,32456.3,36036.8,556.94977,3121.68505859375,19428.758380447016,0.089520775,751882.2,12543.2,1350
2009-04-19 12:00:00,-36003.0,-32103.800390625,28147.71953125,31487.3,315.50415,4531.72021484375,20347.598959600455,-0.30415174,392802.66,20019.8,1245
2009-04-19 18:00:00,-35289.9,-30212.3900390625,28485.4404296875,31612.1,1245.8027,111.43569946289062,19571.18574591241,-0.09320377,1.6818338e+06,14688.7,1350
2009-04-20 00:00:00,-28496.9,-24348.8849609375,34006.764843749996,37460.2,989.17926,-3885.2750244140625,19623.768113817678,0.3895921,1.335392e+06,7024.9,1350
2009-04-20 06:00:00,-28838.7,-27361.33974609375,30914.344921875,36004.1,306.59814,1371.4000244140625,18785.41801632661,0.0697899,413907.5,11244.6,1350
2009-04-20 12:00:00,-36101.1,-31609.475390625,25866.89521484375,29252.6,1747.0934,7515.219970703125,19754.792557283574,-0.4845544,2.358576e+06,20391.2,1350
2009-04-20 18:00:00,-35337.4,-30321.19482421875,28400.044921875,31505.1,1128.2847,-106.9749984741211,19551.806531135484,-0.09078575,1.5231842e+06,17898.1,1350
2009-04-21 00:00:00,-28627.7,-25048.780078125,34039.740429687496,37552.3,972.33954,-4170.53515625,19689.360756158407,0.38372585,1.3126584e+06,9737.99,1350
2009-04-21 06:00:00,-28927.8,-26959.59443359375,30768.9896484375,35974.4,607.84845,2081.6199951171875,18701.5573575305,0.044894967,820595.44,10977.2,1350
2009-04-21 12:00:00,-36184.3,-31647.775,25868.7904296875,29416.0,1748.4791,7434.989990234375,19704.577731691203,-0.48652714,2.3604468e+06,20756.8,1350
2009-04-21 18:00:00,-35376.0,-30292.1849609375,28472.53486328125,31534.8,1269.2501,-63.887847900390625,19513.39780092992,-0.099532165,1.7134876e+06,20973.7,1350
